,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
140,Gary Cahill,D,11,-0.07219999999999999,-0.04601666666666667,-0.026183333333333315
143,John Egan,D,11,-0.07403333333333334,-0.04601666666666667,-0.02801666666666667
102,Leander Dendoncker,M,11,-0.08868333333333332,-0.0602,-0.028483333333333326
141,Kean Bryan,D,11,-0.07473333333333333,-0.04601666666666667,-0.02871666666666666
144,Charlie Taylor,D,11,-0.07826666666666666,-0.04601666666666667,-0.032249999999999994
145,Rob Holding,D,11,-0.07888333333333335,-0.04601666666666667,-0.032866666666666676
113,Yves Bissouma,M,11,-0.09634999999999999,-0.0602,-0.036149999999999995
112,Ruben Loftus-Cheek,M,11,-0.09703333333333335,-0.0602,-0.03683333333333335
108,Kai Havertz,M,11,-0.09815,-0.0602,-0.037950000000000005
107,Youri Tielemans,M,11,-0.09835,-0.0602,-0.03815000000000001
86,Raphinha,F,11,-0.07023333333333333,-0.031299999999999994,-0.038933333333333334
110,John Fleck,M,11,-0.0993,-0.0602,-0.0391
117,N'Golo Kante,M,11,-0.10105000000000001,-0.0602,-0.04085000000000002
118,Ruben Neves,M,11,-0.10128333333333334,-0.0602,-0.04108333333333334
116,Daniel Podence,M,11,-0.10278333333333334,-0.0602,-0.04258333333333334
149,George Baldock,D,11,-0.09051666666666665,-0.04601666666666667,-0.04449999999999998
119,Nampalys Mendy,M,11,-0.10613333333333334,-0.0602,-0.04593333333333335
153,Lewis Dunk,D,11,-0.09863333333333334,-0.04601666666666667,-0.052616666666666666
129,Fabinho,M,11,-0.11470000000000001,-0.0602,-0.054500000000000014
94,Che Adams,F,11,-0.08666666666666667,-0.031299999999999994,-0.055366666666666675
128,Stuart Dallas,M,11,-0.11601666666666667,-0.0602,-0.055816666666666674
133,Granit Xhaka,M,11,-0.11698333333333333,-0.0602,-0.05678333333333333
131,Oriol Romeu,M,11,-0.11711666666666665,-0.0602,-0.05691666666666665
134,Moussa Sissoko,M,11,-0.11714999999999999,-0.0602,-0.056949999999999994
127,Pablo Fornals,M,11,-0.11878333333333335,-0.0602,-0.058583333333333355
99,Karlan Grant,F,11,-0.09068333333333334,-0.031299999999999994,-0.059383333333333344
137,Scott McTominay,M,11,-0.12119999999999999,-0.0602,-0.06099999999999999
156,Kyle Bartley,D,11,-0.10919999999999998,-0.04601666666666667,-0.06318333333333331
101,Willian,F,11,-0.09455000000000001,-0.031299999999999994,-0.06325000000000001
158,Fabian Balbuena,D,11,-0.11118333333333334,-0.04601666666666667,-0.06516666666666668
103,Jay Rodriguez,F,11,-0.09658333333333331,-0.031299999999999994,-0.06528333333333332
159,Ola Aina,D,11,-0.11185,-0.04601666666666667,-0.06583333333333333
161,Luke Ayling,D,11,-0.11541666666666667,-0.04601666666666667,-0.06939999999999999
104,Gabriel Jesus,F,11,-0.10275000000000001,-0.031299999999999994,-0.07145000000000001
146,Joao Moutinho,M,11,-0.13215,-0.0602,-0.07194999999999999
109,Steven Bergwijn,F,11,-0.10383333333333333,-0.031299999999999994,-0.07253333333333334
162,Angelo Ogbonna,D,11,-0.12253333333333334,-0.04601666666666667,-0.07651666666666668
148,Oliver Burke,M,11,-0.1389,-0.0602,-0.07869999999999999
163,Marcal,D,11,-0.12715,-0.04601666666666667,-0.08113333333333334
115,Roberto Firmino,F,11,-0.11295000000000001,-0.031299999999999994,-0.08165000000000001
151,Cheikhou Kouyate,M,11,-0.1423,-0.0602,-0.0821
150,Theo Walcott,M,11,-0.14363333333333334,-0.0602,-0.08343333333333333
152,Luka Milivojevic,M,11,-0.14429999999999998,-0.0602,-0.08409999999999998
154,Ezgjan Alioski,M,11,-0.15185,-0.0602,-0.09165000000000001
136,Anthony Martial,F,11,-0.12843333333333332,-0.031299999999999994,-0.09713333333333332
139,Aaron Connolly,F,11,-0.13005,-0.031299999999999994,-0.09875
160,Romaine Sawyers,M,11,-0.15940000000000001,-0.0602,-0.09920000000000001
157,Giovani Lo Celso,M,11,-0.16015,-0.0602,-0.09994999999999998
142,Pierre-Emerick Aubameyang,F,11,-0.13581666666666667,-0.031299999999999994,-0.10451666666666667
164,Conor Coady,D,11,-0.15378333333333336,-0.04601666666666667,-0.10776666666666668
147,Bobby De Cordova-Reid,F,11,-0.14049999999999999,-0.031299999999999994,-0.10919999999999999
165,Willy Boly,D,11,-0.15665,-0.04601666666666667,-0.11063333333333333
155,Ademola Lookman,F,11,-0.16358333333333333,-0.031299999999999994,-0.13228333333333334
166,Semi Ajayi,D,11,-0.1806833333333333,-0.04601666666666667,-0.13466666666666663
167,Branislav Ivanovic,D,11,-0.18921666666666667,-0.04601666666666667,-0.1432
168,Nelson Semedo,D,11,-0.21278333333333332,-0.04601666666666667,-0.16676666666666665
0,Gylfi Sigurdsson,M,12,0.2512833333333333,-0.03566666666666668,0.28695
2,James Justin,D,12,0.23334999999999997,-0.04758333333333333,0.2809333333333333
4,Jan Bednarek,D,12,0.22453333333333333,-0.04758333333333333,0.2721166666666667
1,Jamie Vardy,F,12,0.24963333333333335,-0.021049999999999996,0.27068333333333333
3,James Maddison,M,12,0.22961666666666666,-0.03566666666666668,0.2652833333333333
5,Ben Mee,D,12,0.16521666666666668,-0.04758333333333333,0.21280000000000002
6,Jeffrey Schlupp,M,12,0.16348333333333334,-0.03566666666666668,0.19915000000000002
7,Angelo Ogbonna,D,12,0.1366166666666667,-0.04758333333333333,0.18420000000000003
9,Eberechi Eze,M,12,0.1368666666666666,-0.03566666666666668,0.1725333333333333
8,Harry Kane,F,12,0.14486666666666667,-0.021049999999999996,0.16591666666666666
11,Jannik Vestergaard,D,12,0.11264999999999999,-0.04758333333333333,0.1602333333333333
14,Luke Shaw,D,12,0.10816666666666667,-0.04758333333333333,0.15575
13,Darnell Furlong,D,12,0.10770000000000002,-0.04758333333333333,0.15528333333333336
10,Che Adams,F,12,0.13175,-0.021049999999999996,0.1528
12,Jarrod Bowen,M,12,0.1102166666666667,-0.03566666666666668,0.14588333333333336
16,Aaron Cresswell,D,12,0.09398333333333335,-0.04758333333333333,0.14156666666666667
15,Oriol Romeu,M,12,0.1045666666666667,-0.03566666666666668,0.14023333333333338
17,Miguel Almiron,M,12,0.09750000000000003,-0.03566666666666668,0.1331666666666667
20,Michael Keane,D,12,0.07818333333333334,-0.04758333333333333,0.12576666666666667
