,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
212,Luke Ayling,D,0.03370000000000013,-0.03049642857142857,-0.028089285714285712,14
170,Joel Ward,D,0.03359999999999999,-0.02281944444444445,-0.01721944444444445,6
262,Ola Aina,D,0.032116666666666724,-0.032707575757575755,-0.029787878787878794,11
63,Ciaran Clark,D,0.031316666666666715,-0.03128000000000001,-0.02501666666666666,5
248,N'Golo Kante,M,0.03118333333333332,-0.038948809523809524,-0.03672142857142857,14
65,Conor Gallagher,M,0.027933333333333366,-0.03803166666666667,-0.03523833333333333,10
174,John Fleck,M,0.027083333333333424,-0.035440476190476196,-0.03157142857142856,7
214,Luke Thomas,D,0.025733333333333344,-0.06815,-0.04241666666666666,1
305,Ruben Vinagre,D,0.02513333333333334,0.0007833333333333211,0.02591666666666666,1
171,Joelinton,F,0.02396666666666672,-0.039193750000000006,-0.03619791666666668,8
23,Andy Carroll,F,0.020666666666666667,-0.08998333333333335,-0.06931666666666668,1
92,Eddie Nketiah,F,0.016883333333333347,-0.04916666666666668,-0.040725000000000004,2
48,Bukayo Saka,M,0.015033333333333405,-0.04163484848484849,-0.04026818181818182,11
68,Curtis Jones,M,0.01230000000000004,-0.039483333333333336,-0.03702333333333333,5
82,DeAndre Yedlin,D,0.011733333333333318,-0.05745,-0.04571666666666668,1
344,Tosin Adarabioyo,D,0.011116666666666775,-0.03363000000000001,-0.03251833333333333,10
115,Gareth Bale,M,0.008583333333333349,-0.03265000000000001,-0.024066666666666663,1
339,Timothy Fosu-Mensah,D,0.006600000000000033,-0.02946666666666668,-0.022866666666666646,1
194,Kelechi Iheanacho,F,0.0058833333333333585,-0.06618333333333336,-0.0603,1
178,Jonjo Shelvey,M,0.005416666666666695,-0.04092916666666667,-0.04025208333333333,8
3,Abdoulaye Doucoure,M,0.0014500000000000138,-0.040141025641025646,-0.04002948717948718,13
113,Gabriel Jesus,F,-0.0014333333333332865,-0.03966428571428571,-0.039869047619047616,7
304,Ruben Neves,M,-0.0036833333333333024,-0.041591666666666666,-0.041960000000000004,10
276,Paul Dummett,D,-0.003883333333333329,-0.05745,-0.06133333333333333,1
104,Fabian Delph,M,-0.00421666666666666,-0.06806666666666666,-0.07228333333333332,1
350,Virgil van Dijk,D,-0.006016666666666601,-0.02266250000000001,-0.02416666666666666,4
342,Tom Davies,M,-0.009083333333333311,-0.04368333333333333,-0.0467111111111111,3
120,Grady Diangana,M,-0.009733333333333379,-0.03650333333333334,-0.03747666666666667,10
263,Oliver Burke,M,-0.010233333333333317,-0.04781666666666666,-0.04986333333333333,5
186,Josh Benson,M,-0.010816666666666676,-0.05173333333333333,-0.06255000000000001,1
